InvoiceNo;Order
Invoice3219;cake,cookies,cottage cheese,toothpaste
Invoice3220;cookies
Invoice3221;cookies
Invoice3222;escalope
Invoice3223;eggs
Invoice3224;chocolate,french fries,hot dogs
Invoice3225;chocolate
Invoice3226;eggs
Invoice3227;ham,grated cheese,ground beef,spaghetti,milk,chicken,eggs,honey,burger sauce,french fries,body spray,fresh bread
Invoice3228;milk
Invoice3229;eggs,french fries
Invoice3230;french fries,cookies
Invoice3231;eggs
Invoice3232;vegetables mix,eggs,whole wheat rice
Invoice3233;spaghetti,eggs,chocolate
Invoice3234;white wine
Invoice3235;eggs,whole wheat rice
Invoice3236;eggs,honey
Invoice3237;turkey,chocolate,muffins,eggs
Invoice3238;milk,butter,eggs,whole wheat rice
Invoice3239;shrimp,tomatoes,mineral water,flax seed,chicken,pancakes,frozen smoothie
Invoice3240;burgers,ground beef,spaghetti,whole wheat rice,cottage cheese
Invoice3241;turkey,shrimp,frozen vegetables,tomatoes,parmesan cheese,ground beef,spaghetti,mineral water,milk,vegetables mix,nonfat milk,green grapes,whole wheat rice
Invoice3242;dessert wine,whole wheat rice,chocolate,cookies
Invoice3243;nonfat milk,eggs,cake
Invoice3244;tomato sauce,spaghetti,olive oil,mushroom cream sauce,green tea
Invoice3245;parmesan cheese,ground beef,spaghetti,olive oil,cereals,strawberries,fresh bread,white wine,cauliflower
Invoice3246;burgers,almonds,carrots
Invoice3247;turkey,black tea,eggs
Invoice3248;turkey,eggs,strawberries
Invoice3249;pancakes
Invoice3250;turkey,red wine,whole wheat rice,bug spray,rice,green beans
Invoice3251;mineral water,olive oil,cake,chocolate
Invoice3252;burgers
Invoice3253;frozen vegetables,parmesan cheese,spaghetti,mineral water,whole wheat rice,cake,frozen smoothie,cottage cheese,mint
Invoice3254;tomato sauce,spaghetti
Invoice3255;fresh tuna,shrimp,meatballs,milk,chicken,eggs,clothes accessories,salad,fresh bread,mint
Invoice3256;turkey,eggs
Invoice3257;chocolate,frozen vegetables,tomatoes,spaghetti,milk,cake,escalope,mushroom cream sauce
Invoice3258;frozen vegetables,tomatoes,mineral water,eggs,cake,frozen smoothie,hot dogs,protein bar
Invoice3259;shrimp,mineral water,chocolate,soup,milk,black tea
Invoice3260;frozen vegetables,mineral water,milk,energy bar,whole wheat rice,low fat yogurt
Invoice3261;herb & pepper,shrimp,frozen vegetables,ground beef,muffins,blueberries,french fries,cookies,mushroom cream sauce
Invoice3262;spaghetti,nonfat milk,low fat yogurt
Invoice3263;escalope,pasta,mushroom cream sauce
Invoice3264;chocolate,champagne
Invoice3265;low fat yogurt
Invoice3266;chocolate,champagne
Invoice3267;soup,avocado,milk,honey,cottage cheese,green tea
Invoice3268;shrimp,frozen vegetables,spaghetti,bug spray,champagne,frozen smoothie,fresh bread
Invoice3269;grated cheese,butter,chocolate,french fries
Invoice3270;mayonnaise
Invoice3271;frozen vegetables,mineral water,muffins,mushroom cream sauce,pancakes,green tea
Invoice3272;low fat yogurt
Invoice3273;tomatoes,pepper,spaghetti,eggs,pet food,tea,chocolate,hot dogs
Invoice3274;ground beef,eggs,cake
Invoice3275;mineral water
Invoice3276;tomatoes,eggs,antioxydant juice,french fries,brownies,gluten free bar,fresh bread
Invoice3277;french fries
Invoice3278;champagne,frozen smoothie
Invoice3279;energy bar,cottage cheese
Invoice3280;muffins,oil,escalope
Invoice3281;spaghetti,mineral water,soup,avocado,milk,chicken,cereals
Invoice3282;chocolate,ground beef,milk
Invoice3283;parmesan cheese,whole wheat pasta,spaghetti,soup,almonds,cake,champagne,hot dogs,protein bar,tomato juice,fresh bread
Invoice3284;candy bars
Invoice3285;frozen vegetables,ground beef,spaghetti,green grapes,cooking oil
Invoice3286;green tea,escalope
Invoice3287;yogurt cake
Invoice3288;energy drink
Invoice3289;milk,hot dogs,fresh bread
Invoice3290;chocolate,herb & pepper,milk,eggs,low fat yogurt
Invoice3291;mineral water,nonfat milk,cake
Invoice3292;burgers,frozen vegetables,gums,french fries,hot dogs,green tea,honey
Invoice3293;meatballs
Invoice3294;burgers,frozen vegetables,mineral water,meatballs,milk,honey,ham,french fries,frozen smoothie,green tea
Invoice3295;butter,eggs,sparkling water,pancakes
Invoice3296;green tea
Invoice3297;rice
Invoice3298;french fries
Invoice3299;tomatoes,mineral water,french fries
Invoice3300;cookies,low fat yogurt
Invoice3301;red wine,frozen vegetables,ground beef,mineral water,vegetables mix,eggs,rice,brownies
Invoice3302;mineral water
Invoice3303;grated cheese,ground beef,olive oil,pancakes,mushroom cream sauce,hot dogs
Invoice3304;ham,red wine,mineral water,butter,french wine,cake,chicken,carrots,cottage cheese
Invoice3305;red wine,frozen vegetables,tomatoes,ground beef,pet food,french fries,brownies,low fat yogurt,green tea
Invoice3306;frozen vegetables
Invoice3307;mineral water,chocolate,milk,eggs
Invoice3308;milk
Invoice3309;muffins,low fat yogurt
Invoice3310;shrimp,green grapes,pancakes,eggs,cake
Invoice3311;antioxydant juice,chocolate
Invoice3312;olive oil,eggs,cake,french fries,hot dogs,strawberries,asparagus,salad,green tea
Invoice3313;burgers,spaghetti,milk,olive oil,chicken,french fries,tomato juice,magazines
Invoice3314;eggs,honey
Invoice3315;french fries
Invoice3316;spaghetti,mineral water,nonfat milk,honey,carrots,cottage cheese
Invoice3317;ground beef,whole wheat rice,extra dark chocolate,fresh bread,candy bars
Invoice3318;ground beef,soup,bacon,pancakes,cooking oil,barbecue sauce,green tea
Invoice3319;milk
Invoice3320;spaghetti,energy bar,cider,pancakes,eggs,cake
Invoice3321;milk,energy bar
Invoice3322;dessert wine,mineral water,barbecue sauce,green tea
Invoice3323;frozen vegetables,ground beef,spaghetti,chocolate,french fries,escalope,pancakes,tomato juice
Invoice3324;frozen vegetables,eggs,barbecue sauce
Invoice3325;red wine
Invoice3326;cooking oil,frozen smoothie
Invoice3327;escalope,pasta,mushroom cream sauce
Invoice3328;escalope
Invoice3329;mineral water,eggs,green tea,frozen smoothie
Invoice3330;eggs
Invoice3331;chocolate,bacon,mint green tea
Invoice3332;red wine,frozen vegetables,french wine,champagne,green tea
Invoice3333;strawberries
Invoice3334;burgers,ham,shrimp,milk,muffins,eggs,whole wheat rice,carrots,oatmeal,pasta,low fat yogurt
Invoice3335;parmesan cheese,hot dogs,energy drink,light mayo
Invoice3336;cookies
Invoice3337;cookies
Invoice3338;spaghetti,whole weat flour
Invoice3339;fresh tuna,soup,avocado,energy bar,butter,chicken,whole wheat rice,barbecue sauce,whole weat flour
Invoice3340;burgers,hot dogs,melons
Invoice3341;herb & pepper,spaghetti,meatballs,chili,sandwich
Invoice3342;yogurt cake
Invoice3343;chocolate
Invoice3344;gums,chocolate
Invoice3345;green tea,zucchini
Invoice3346;tomatoes,ground beef,butter,green grapes,pancakes,cooking oil,carrots
Invoice3347;eggs,cake,fresh bread,low fat yogurt
Invoice3348;ground beef
Invoice3349;grated cheese,mineral water,avocado
Invoice3350;spaghetti,honey,cake,green tea
Invoice3351;champagne
Invoice3352;cookies
Invoice3353;shrimp,pepper,french wine,strong cheese,salmon,green grapes,pancakes,eggs
Invoice3354;brownies
Invoice3355;ground beef,mineral water
Invoice3356;milk
Invoice3357;whole wheat pasta
Invoice3358;burgers,ground beef,mineral water,frozen smoothie,sparkling water,light mayo
Invoice3359;shrimp,spaghetti,salmon,chicken
Invoice3360;butter,whole wheat rice
Invoice3361;pickles
Invoice3362;cereals,cookies
Invoice3363;cookies
Invoice3364;cookies
Invoice3365;frozen smoothie
Invoice3366;grated cheese,frozen vegetables,ground beef,cooking oil,french fries,escalope,brownies
Invoice3367;turkey,honey,cooking oil
Invoice3368;burgers,chocolate,shrimp
Invoice3369;grated cheese,shrimp,frozen vegetables,mineral water,salmon,pancakes,honey,green beans,mushroom cream sauce,gluten free bar,fresh bread
Invoice3370;pasta
Invoice3371;vegetables mix,asparagus
Invoice3372;herb & pepper,spaghetti
Invoice3373;turkey,spaghetti,mushroom cream sauce,green tea
Invoice3374;turkey,frozen vegetables,pepper,avocado,muffins,white wine,toothpaste
Invoice3375;avocado,yogurt cake
Invoice3376;ground beef,spaghetti
Invoice3377;burgers,shrimp,frozen vegetables,tomatoes,milk,cake,chocolate,cottage cheese
Invoice3378;chocolate
Invoice3379;spaghetti
Invoice3380;mineral water,black tea,eggs,whole wheat rice
Invoice3381;turkey,eggs,french fries,frozen smoothie,green tea
Invoice3382;chocolate,champagne
Invoice3383;tomatoes,eggs,melons,mint,green tea
Invoice3384;eggs
Invoice3385;frozen vegetables,tomatoes
Invoice3386;spaghetti,milk,pancakes
Invoice3387;ham,eggs,cake
Invoice3388;escalope,pasta
Invoice3389;antioxydant juice,french fries,escalope,light mayo
Invoice3390;eggs,frozen smoothie,escalope,cookies,pancakes
Invoice3391;ground beef,spaghetti,green beans,green tea
Invoice3392;fresh tuna,mineral water,milk,french fries,mushroom cream sauce
Invoice3393;eggs,green tea
Invoice3394;eggs,green tea,chocolate
Invoice3395;butter,extra dark chocolate
Invoice3396;turkey,mineral water,eggs,green tea,hot dogs,cauliflower
Invoice3397;mineral water,pancakes,french fries,cookies,shallot,green tea
Invoice3398;mineral water,meatballs,energy drink
Invoice3399;shrimp,ground beef,pepper,spaghetti
Invoice3400;spaghetti
Invoice3401;sparkling water,energy drink,light mayo
Invoice3402;cookies
Invoice3403;escalope,fresh bread
Invoice3404;spaghetti
Invoice3405;spaghetti,olive oil,chicken,eggs,green tea
Invoice3406;mineral water,avocado,oil
Invoice3407;milk
Invoice3408;chocolate,milk,eggs,french fries
Invoice3409;eggs,french fries,frozen smoothie
Invoice3410;tomatoes,pepper,mineral water,milk,salmon,nonfat milk,eggs,gums,cooking oil,escalope
Invoice3411;grated cheese,shrimp,frozen vegetables,cider,chocolate
Invoice3412;turkey,grated cheese,milk,black tea,chicken,chocolate,french fries,frozen smoothie,green tea
Invoice3413;burgers,french fries,escalope
Invoice3414;shrimp,avocado,low fat yogurt
Invoice3415;whole wheat rice,clothes accessories,cookies
Invoice3416;french fries
Invoice3417;cookies
Invoice3418;chocolate
Invoice3419;grated cheese,herb & pepper
Invoice3420;vegetables mix,french fries
Invoice3421;chocolate,ground beef,mineral water,eggs,whole wheat rice
Invoice3422;eggs,mushroom cream sauce,candy bars
Invoice3423;grated cheese,shrimp,ground beef,mineral water,chocolate,salt
Invoice3424;burgers,whole wheat rice,cooking oil,escalope
Invoice3425;eggs
Invoice3426;french fries
Invoice3427;ground beef,spaghetti,mineral water
Invoice3428;energy bar
Invoice3429;turkey,frozen vegetables,spaghetti,mineral water,eggs,antioxydant juice,french fries,frozen smoothie
Invoice3430;butter,escalope,shallot,white wine
Invoice3431;mineral water,soup,milk,cooking oil
Invoice3432;mineral water,pancakes,low fat yogurt
Invoice3433;burgers,milk,eggs,chocolate,french fries
Invoice3434;cookies
Invoice3435;burgers,herb & pepper,frozen vegetables,tomatoes,whole wheat pasta,ground beef,spaghetti,mineral water,barbecue sauce,toothpaste
Invoice3436;herb & pepper,spaghetti,eggs,escalope
Invoice3437;extra dark chocolate,green tea,candy bars
Invoice3438;cookies
Invoice3439;milk,frozen smoothie,white wine
Invoice3440;burgers,french fries,cookies,strawberries
Invoice3441;ground beef,pepper,mineral water,chocolate
Invoice3442;cookies
Invoice3443;cookies
Invoice3444;frozen vegetables,chicken,bacon,eggs,honey,extra dark chocolate,eggplant,cottage cheese
Invoice3445;frozen vegetables,spaghetti,mineral water,soup,milk,salmon,green grapes,eggs,french fries,shallot,brownies,light mayo,melons,toothpaste
Invoice3446;shrimp,frozen vegetables,tomatoes,mineral water,meatballs
Invoice3447;chocolate,red wine,shrimp,spaghetti,green tea
Invoice3448;avocado,milk,butter,chicken,salmon,eggs,chocolate,fresh bread
Invoice3449;spaghetti,milk
Invoice3450;spaghetti,olive oil
Invoice3451;pepper,cereals,antioxydant juice,sparkling water,shampoo
Invoice3452;salmon,cooking oil,carrots
Invoice3453;chocolate,red wine,tomatoes,spaghetti,butter,almonds,strong cheese,clothes accessories,green tea,hand protein bar,mint
Invoice3454;chocolate,tomatoes,mineral water,olive oil,cooking oil,low fat yogurt,zucchini
Invoice3455;pepper,cookies,green tea
Invoice3456;ham,chocolate,grated cheese,ground beef,mineral water,eggs,protein bar
Invoice3457;shrimp,tomatoes,mineral water,almonds,hot dogs
Invoice3458;milk,honey
Invoice3459;white wine
Invoice3460;grated cheese,tomatoes,soup,blueberries,cooking oil,chili,green tea,fresh bread,low fat yogurt
Invoice3461;meatballs,butter,chicken,cider,whole wheat rice,green tea
Invoice3462;green tea,mint
Invoice3463;chocolate,frozen vegetables,nonfat milk,pancakes,blueberries,melons,salt
Invoice3464;tomatoes,ground beef,spaghetti,mineral water
Invoice3465;french fries
Invoice3466;milk,eggs
Invoice3467;whole wheat pasta,ground beef,milk,olive oil,champagne,cauliflower
Invoice3468;red wine,frozen vegetables,milk,salmon,pancakes,eggs,ham,cereals,french fries,champagne
Invoice3469;cookies
Invoice3470;turkey,frozen vegetables,ground beef,spaghetti,soup,olive oil,shallot
Invoice3471;energy bar,french fries
Invoice3472;escalope
Invoice3473;cake,french fries
Invoice3474;tomatoes,spaghetti,mineral water
Invoice3475;mineral water,olive oil,eggs,mint
Invoice3476;red wine,ground beef,mineral water,eggs,cottage cheese,brownies
Invoice3477;pancakes
Invoice3478;spaghetti,mineral water,milk,chocolate
Invoice3479;oil,chocolate,cottage cheese
Invoice3480;herb & pepper,shrimp,frozen vegetables,mineral water,milk,cooking oil,barbecue sauce,green beans,fresh bread
Invoice3481;chocolate
Invoice3482;burgers,ground beef,soup,milk,olive oil,almonds,fromage blanc,pancakes,oil,pet food,french fries,mushroom cream sauce,light mayo,low fat yogurt
Invoice3483;burgers,butter,light cream,zucchini
Invoice3484;grated cheese,chocolate,soup,salmon,cooking oil,chicken,strawberries,fresh bread,low fat yogurt
Invoice3485;turkey,ham
Invoice3486;olive oil
Invoice3487;cookies,mushroom cream sauce
Invoice3488;grated cheese,ground beef,spaghetti,bacon,pancakes,eggs,barbecue sauce,frozen smoothie,strawberries,white wine
Invoice3489;mineral water,eggs,gums
Invoice3490;spaghetti,mineral water,chocolate,honey,green beans,french fries,body spray,pancakes
Invoice3491;mineral water,eggs,green tea
Invoice3492;shrimp,ground beef,pepper,spaghetti,pancakes,honey,body spray
Invoice3493;spaghetti,mineral water,eggs,whole wheat rice,french fries,tomato juice,low fat yogurt
Invoice3494;spaghetti,mineral water,soup,salmon,green grapes,champagne,mashed potato,cottage cheese,low fat yogurt
Invoice3495;herb & pepper,ground beef,tomato sauce,spaghetti,mineral water,chocolate,soup,olive oil,eggs,cake,cooking oil
Invoice3496;burgers,salmon,vegetables mix,carrots,green tea
Invoice3497;tomatoes,rice,oil,green tea
Invoice3498;herb & pepper,ground beef,salmon,spinach,honey,protein bar
Invoice3499;chocolate,red wine,tomato sauce,butter,chicken,salmon,french fries,salt,mint
Invoice3500;cookies
Invoice3501;burgers,tomatoes,milk,honey,french fries
Invoice3502;mineral water,eggs,escalope
Invoice3503;green tea
Invoice3504;mineral water,chocolate
Invoice3505;herb & pepper,ground beef,spaghetti,green grapes,cake,burger sauce,cooking oil,chicken,cereals,green tea,escalope,magazines,toothpaste,mint
Invoice3506;chocolate
Invoice3507;spaghetti,corn,green tea
Invoice3508;herb & pepper,shrimp,frozen vegetables,spaghetti,flax seed,fromage blanc,chocolate,french fries,magazines
Invoice3509;mineral water
Invoice3510;frozen vegetables,ground beef,almonds,fromage blanc,cooking oil,chocolate,french fries,champagne
Invoice3511;light mayo
Invoice3512;burgers,black tea,eggs,chocolate,yogurt cake
Invoice3513;meatballs,pancakes,eggs,french fries,yogurt cake
Invoice3514;burgers,mineral water,green grapes,barbecue sauce,oatmeal,chocolate,tomato juice
Invoice3515;eggs,french fries,frozen smoothie,escalope,cottage cheese
Invoice3516;mineral water,eggs,corn,chocolate,honey
Invoice3517;shrimp,light mayo
Invoice3518;cooking oil
Invoice3519;burgers,low fat yogurt
Invoice3520;chocolate,spaghetti,mineral water,soup,pancakes,eggs,hand protein bar
Invoice3521;green tea
Invoice3522;frozen vegetables,eggs,melons,low fat yogurt,green tea
Invoice3523;spaghetti,mineral water,pancakes,cooking oil,chocolate,frozen smoothie,escalope
Invoice3524;chocolate,chili
Invoice3525;ground beef,chocolate,cooking oil
Invoice3526;candy bars
Invoice3527;burgers,turkey,shrimp,spaghetti,mineral water,chocolate,soup,olive oil,muffins,eggs,cake,french fries,low fat yogurt
Invoice3528;turkey
Invoice3529;shrimp,milk,butter,pancakes,eggs
Invoice3530;cake
Invoice3531;grated cheese,mineral water,soup,olive oil
Invoice3532;candy bars
Invoice3533;candy bars
Invoice3534;turkey,eggs
Invoice3535;tomatoes
Invoice3536;herb & pepper,tomatoes,pepper,mineral water,cooking oil,french fries,frozen smoothie,fresh bread
Invoice3537;mineral water,light cream,cooking oil,chicken
Invoice3538;ground beef,mineral water,olive oil,vegetables mix,light cream,oil,brownies,melons,fresh bread,mayonnaise,candy bars,green tea
Invoice3539;escalope
Invoice3540;mineral water,vegetables mix,french fries,fresh bread,cauliflower
Invoice3541;spaghetti,strawberries
Invoice3542;mineral water,chutney
Invoice3543;pickles,herb & pepper,shrimp,tomatoes,ground beef,mineral water,gums,bramble,rice,french fries,frozen smoothie,light mayo,mint,green tea
Invoice3544;escalope
Invoice3545;energy bar,salmon,french fries,frozen smoothie,sparkling water,low fat yogurt
Invoice3546;spaghetti
Invoice3547;cookies
Invoice3548;cookies
Invoice3549;eggs
Invoice3550;herb & pepper
Invoice3551;shrimp,tomatoes,chocolate,eggs,oil,french fries,escalope,mushroom cream sauce,sandwich
Invoice3552;eggs,extra dark chocolate,french fries
Invoice3553;yogurt cake
Invoice3554;turkey,french fries
Invoice3555;mineral water,brownies,fresh bread
Invoice3556;tomatoes,strawberries
Invoice3557;frozen vegetables,green tea
Invoice3558;dessert wine,shrimp,spaghetti,soup,gums
Invoice3559;shrimp,frozen vegetables,ground beef,spaghetti,milk,olive oil,salmon,muffins,eggs,bug spray,chicken,french fries,fresh bread,low fat yogurt
Invoice3560;turkey,tomatoes,pepper,mineral water,soup,milk,cake,pet food
Invoice3561;black tea,french fries,champagne
Invoice3562;fresh tuna,ground beef,pepper,spaghetti,mineral water,olive oil,black tea,almonds,french wine,chicken,strong cheese,pancakes,bug spray,eggplant,fresh bread
Invoice3563;mineral water,champagne
Invoice3564;spaghetti,eggs,whole wheat rice,honey
Invoice3565;burgers,energy bar,eggs,champagne,brownies,green tea
Invoice3566;milk,eggs,mint green tea,french fries,cookies,brownies
Invoice3567;vegetables mix
Invoice3568;grated cheese,spaghetti,mint
Invoice3569;eggs,strawberries
Invoice3570;cooking oil,french fries
Invoice3571;ground beef,spaghetti,milk,butter,chicken,green tea,french fries,champagne,cookies,white wine,low fat yogurt
Invoice3572;tomatoes
Invoice3573;herb & pepper,tomatoes,mineral water,chocolate,soup,cooking oil,cereals,green tea,brownies
Invoice3574;tomatoes,mineral water,chocolate,olive oil,energy bar,low fat yogurt,zucchini
Invoice3575;chocolate,shrimp,ground beef,spaghetti,whole wheat rice,cake,hot dogs,fresh bread
Invoice3576;mineral water,chocolate,low fat yogurt
Invoice3577;chocolate,shallot
Invoice3578;burgers,shrimp,frozen vegetables,spaghetti,mineral water,chocolate,olive oil,french wine,pancakes,white wine
Invoice3579;spaghetti,mineral water,escalope,low fat yogurt
Invoice3580;frozen vegetables,milk,butter,chicken,fromage blanc,eggs,cake,cooking oil,brownies,tomato juice
Invoice3581;burgers,cookies,green tea
Invoice3582;red wine,barbecue sauce,chili,pet food,whole weat flour,french fries,low fat yogurt
Invoice3583;mineral water,milk,chocolate,cookies
Invoice3584;shrimp,tomatoes,ground beef,milk,cooking oil,white wine
Invoice3585;mineral water,milk,olive oil,energy bar,whole wheat rice
Invoice3586;turkey
Invoice3587;honey,cottage cheese,green tea
Invoice3588;almonds,french wine
Invoice3589;turkey,shrimp,pepper,spaghetti,soup,olive oil,green grapes,pancakes,honey,burger sauce,extra dark chocolate
Invoice3590;milk,sparkling water,asparagus,low fat yogurt
Invoice3591;ground beef,spaghetti,mineral water,french wine,eggs,extra dark chocolate
Invoice3592;eggs
Invoice3593;herb & pepper,red wine,mineral water,soup,milk,chicken,corn,carrots,whole weat flour,cereals,french fries,pancakes,asparagus
Invoice3594;eggs
Invoice3595;eggs,escalope
Invoice3596;burgers,mineral water,eggs
Invoice3597;meatballs,cake
Invoice3598;grated cheese,ground beef,mineral water,clothes accessories,french fries,tomato juice,green tea
Invoice3599;grated cheese,ground beef,spaghetti,cake,green tea
Invoice3600;burgers,red wine,tomatoes,spaghetti,meatballs,bacon,salmon,shampoo
Invoice3601;french fries
Invoice3602;frozen vegetables,tomatoes,green tea,french fries,frozen smoothie,hot dogs
Invoice3603;tomatoes,mineral water,milk,olive oil,chicken,eggs,brownies,pancakes,low fat yogurt
Invoice3604;shrimp,pancakes
Invoice3605;gums
Invoice3606;frozen vegetables,spaghetti,cookies
Invoice3607;mineral water,olive oil,french wine,eggs,gums,antioxydant juice,low fat yogurt
Invoice3608;whole wheat pasta,spaghetti,mineral water,almonds,cooking oil,chocolate,mint
Invoice3609;fresh tuna,herb & pepper,mineral water,milk,cereals
Invoice3610;soup,honey,cake,french fries,hot dogs,sparkling water,brownies,strawberries,pancakes,yogurt cake
Invoice3611;french fries
Invoice3612;mint
Invoice3613;milk,green tea
Invoice3614;ham,tomatoes,ground beef,mineral water,salmon
Invoice3615;shrimp,frozen vegetables,mineral water,chocolate,soup,milk,olive oil,eggs,cake
Invoice3616;ground beef
Invoice3617;mineral water
Invoice3618;green tea,french fries,brownies
Invoice3619;mineral water,energy bar,salmon,cooking oil,shallot,low fat yogurt
Invoice3620;mineral water,honey,cottage cheese
Invoice3621;burgers,frozen vegetables,mineral water
Invoice3622;mineral water,gums
Invoice3623;frozen smoothie
Invoice3624;ham,frozen vegetables,ground beef,spaghetti,mineral water,chocolate,olive oil,vegetables mix,eggs,tomato juice
Invoice3625;spaghetti,milk,cake,burger sauce,chocolate,white wine
Invoice3626;turkey,ground beef,chocolate,escalope
Invoice3627;strong cheese,vegetables mix,french fries,green tea
Invoice3628;chocolate,shrimp,mineral water,milk,barbecue sauce,cereals,french fries,low fat yogurt
Invoice3629;mineral water,cottage cheese,pancakes
Invoice3630;soup,olive oil,green tea,cottage cheese,honey
Invoice3631;cake,mint
Invoice3632;turkey,grated cheese,butter,eggs,eggplant,chocolate,french fries
Invoice3633;chocolate,champagne,green tea
Invoice3634;green grapes,chocolate
Invoice3635;frozen vegetables,tomatoes,ground beef,soup,milk,light cream,cooking oil,chicken,chocolate,low fat yogurt
Invoice3636;burgers,tomatoes,eggs,cake,french fries,frozen smoothie,cookies,hot dogs,light mayo,tomato juice
Invoice3637;mineral water,soup,eggs
Invoice3638;pickles,chocolate,energy drink,low fat yogurt
Invoice3639;grated cheese,mineral water,chocolate,milk,black tea,chicken,green tea,mint
Invoice3640;herb & pepper,avocado,salmon,rice,cottage cheese,magazines,green tea
Invoice3641;burgers,fresh tuna,spaghetti,energy bar,bacon,eggs,french fries,escalope,pancakes,gluten free bar,light mayo
Invoice3642;shrimp,frozen vegetables,ground beef,spaghetti,mineral water,milk,oil,cereals,french fries,champagne,frozen smoothie,low fat yogurt
Invoice3643;tomatoes,mineral water,cooking oil,chocolate
Invoice3644;french fries
Invoice3645;spaghetti,mineral water,yogurt cake,light mayo,low fat yogurt
Invoice3646;frozen vegetables
Invoice3647;mineral water,frozen smoothie,low fat yogurt
Invoice3648;mineral water,chicken,hot dogs
Invoice3649;fresh tuna,pancakes,cake,cottage cheese,brownies,yogurt cake,white wine,green tea
Invoice3650;frozen vegetables,spaghetti
Invoice3651;cookies
Invoice3652;chocolate,grated cheese,salmon,french fries,cookies,shallot,tomato juice,low fat yogurt
Invoice3653;parmesan cheese,chocolate,black tea,cookies
Invoice3654;mineral water,carrots,chocolate,escalope,pancakes
Invoice3655;turkey,burgers,fresh tuna,frozen vegetables,eggs,cake,pancakes,fresh bread
Invoice3656;soup
Invoice3657;escalope
Invoice3658;herb & pepper,ground beef,oatmeal,napkins
Invoice3659;shrimp,frozen vegetables,spaghetti,mineral water,milk,energy bar,chicken,chocolate,mint
Invoice3660;butter,low fat yogurt
Invoice3661;hot dogs
Invoice3662;cookies
Invoice3663;grated cheese,antioxydant juice,low fat yogurt
Invoice3664;pancakes,eggs
Invoice3665;spaghetti,eggs,cake,escalope
Invoice3666;herb & pepper,shrimp,chocolate,frozen smoothie
Invoice3667;burgers,tomatoes,oil,cereals,chocolate,french fries,escalope,champagne
Invoice3668;salt
Invoice3669;turkey,frozen vegetables,ground beef,eggs,barbecue sauce,eggplant,champagne,escalope,green tea
Invoice3670;turkey,ground beef,olive oil,eggs,blueberries,bug spray,green tea
Invoice3671;turkey,burgers,grated cheese,pepper,spaghetti,eggs,gums,low fat yogurt,green tea
Invoice3672;frozen vegetables,tomatoes,milk,salmon,cake,escalope
Invoice3673;spaghetti
Invoice3674;mineral water
Invoice3675;french fries
Invoice3676;chocolate,spaghetti,olive oil,almonds,salmon,vegetables mix,frozen smoothie,cottage cheese,yogurt cake
Invoice3677;spaghetti,olive oil,fromage blanc,pancakes,eggs,cereals,clothes accessories,yogurt cake,gluten free bar,fresh bread,green tea
Invoice3678;mineral water
Invoice3679;burgers,red wine,spaghetti,milk,chicken,ham,chocolate,french fries
Invoice3680;burgers,frozen vegetables,mineral water,milk,olive oil,honey,chocolate
Invoice3681;grated cheese,ground beef,pepper,spaghetti,mineral water,chocolate,salmon,pancakes,eggs,escalope,cookies,fresh bread
Invoice3682;chocolate,champagne
Invoice3683;meatballs,muffins,cottage cheese,strawberries,protein bar
Invoice3684;french fries,light mayo
Invoice3685;chocolate,shrimp,whole wheat pasta,ground beef,milk,french fries
Invoice3686;turkey,frozen vegetables,avocado,butter,green grapes,cake,barbecue sauce,tomato juice
Invoice3687;burgers,mineral water,chocolate,pancakes,honey,cooking oil,light mayo,hand protein bar,zucchini,green tea
Invoice3688;chocolate,tomatoes,salmon
Invoice3689;energy bar,chicken,eggs,light mayo
Invoice3690;frozen smoothie
Invoice3691;grated cheese,olive oil,french wine,chicken,cider,bacon,honey,chocolate,french fries,frozen smoothie
Invoice3692;turkey,ham,grated cheese,herb & pepper,red wine,shrimp,ground beef,spaghetti,mineral water,pancakes,whole wheat rice,cereals
Invoice3693;french fries
Invoice3694;olive oil,antioxydant juice,french fries,cookies,hand protein bar,green tea
Invoice3695;burgers,shrimp,ground beef,spaghetti,mineral water,eggs,whole wheat rice,cereals,chocolate
Invoice3696;ground beef,spaghetti,mineral water,cooking oil
Invoice3697;pasta
Invoice3698;turkey,ground beef,pepper,spaghetti,chocolate,pancakes,rice,cookies
Invoice3699;green tea
Invoice3700;french fries,escalope,pasta
Invoice3701;antioxydant juice,brownies
Invoice3702;extra dark chocolate,mashed potato
Invoice3703;burgers
Invoice3704;chicken
Invoice3705;antioxydant juice
Invoice3706;antioxydant juice
Invoice3707;whole wheat pasta,olive oil,oil,clothes accessories,pasta,white wine,green tea
Invoice3708;frozen vegetables,eggs
Invoice3709;french fries
Invoice3710;herb & pepper,hot dogs
Invoice3711;frozen vegetables,spaghetti,mineral water,almonds,green grapes,whole wheat rice,cake,gums,eggplant,cereals,french fries,fresh bread,low fat yogurt,green tea
Invoice3712;strawberries
Invoice3713;soup,milk,olive oil,muffins
Invoice3714;chocolate,whole wheat pasta,spaghetti,cake,blueberries,oil,chicken
Invoice3715;escalope
Invoice3716;tomato sauce,mineral water,almonds,eggs,cake,chocolate,brownies
Invoice3717;milk
Invoice3718;burgers,ground beef,chicken,whole weat flour,frozen smoothie,escalope,hot dogs,green tea
Invoice3719;frozen vegetables,avocado,milk,tomato juice
Invoice3720;champagne
Invoice3721;cookies,honey
